x,y
568,52.8
569,35
570,11.2
571,44.8
572,2.5
573,30.7
574,18.3
575,14
576,8.5
577,24
578,7
579,6.7
580,6.7
581,12.2
582,18.5
583,7.2
584,10
585,9.5
586,11.5
587,9.7
588,5
589,3.3
590,6.7
591,20.7
592,1.8
593,0
594,0
595,0
596,5
597,4
598,2.5
599,20.8
600,16.5
601,2.7
602,21
603,36.2
604,14
605,13.7
606,17.7
607,3.5
608,0
609,0
610,7.7
611,4.5
612,14.3
613,11.5
614,15.5
615,23.2
616,0
617,8.3
618,39.5
619,35
620,32.5
621,19.2
622,20.5
623,17.5
624,66.8
625,45
626,48.3
627,50
628,51.7
629,53.3
630,52
631,58.3
632,64.5
633,55.8
634,54.3
635,66.3
636,80.3
637,79.7
638,78.3
639,68
640,70
641,73.3
642,76.7
643,80
644,83.3
645,86.3
646,64.2
647,57.5
648,83.3
649,83.3
650,84.7
651,49.2
652,41.7
653,73.8
654,60
655,80.5
656,56.8
657,75.5
658,90.5
659,85
660,80
661,75.5
662,80.5
663,80
664,84.3
665,55.7
666,58
667,49.7
668,71.8
669,88.3
670,103.8
671,101.7
672,100
673,101.7
674,73.5
675,85.7
676,62.5
677,65
678,67.5
679,62.7
680,71.2
681,74
682,49
683,68.3
684,63.8
685,65
686,49.3
687,54.5
688,46.2
689,44
690,42.7
691,50
692,43.8
693,40
694,45
695,41.7
696,40
697,20
698,20.3
699,16
700,39.7
701,16.7
702,20
703,21.2
704,20
705,9.5
706,13.3
707,4.3
708,0
709,0
710,7.5
711,0
712,20.5
713,22.5
714,22.5
715,11.2
716,13.3
717,19.5
718,7.8
719,17.5
720,20.5
721,12
722,15.3
723,1.5
724,4.2
725,3.3
726,12.8
727,0.5
728,0.3
729,0.7
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,11
752,0
753,4
754,10.2
755,1.3
756,1.8
757,18.8
758,3.2
759,1.2
760,0
761,1.7
762,2.2
763,0.8
764,26
765,8.7
766,6.5
767,13.2
768,16.8
769,0
770,17.2
771,3.2
772,27.7
773,9.2
774,18.7
775,30.5
776,14
777,25.5
778,46.3
779,27.8
780,23.8
781,37
782,20
783,9.5
784,39.7
785,9.7
786,24.8
787,30.8
788,3.8
789,13.5
790,32.2
791,24.2
792,33.5
793,32
794,53.7
795,43.7
796,52.7
797,16.3
798,93.2
799,59.2
800,78.7
801,52.5
802,55.8
803,62
804,108.3
805,43.8
806,114.7
807,122.8
808,98
809,73.8
810,72.7
811,64.7
812,38.7
813,79.7
814,94
815,63.5
816,49.8
817,60.7
818,96.5
819,160.3
820,44
821,35.3
822,66.7
823,83.3
824,75
825,61.2
826,42.7
827,48.2
828,47.3
829,58.1
830,37.4
831,42.4
832,57.5
833,88.5
834,60.8
835,46.8
836,52.6
837,43.4
838,52.8
839,18.3
840,43
841,54.7
842,34.6
843,6.3
844,33.7
845,32.6
846,58.3
847,52.5
848,43.5
849,24.8
850,45.9
851,41.8
852,50.9
853,32
854,44.4
855,7.5
856,32.3
857,48.9
858,17.9
859,34.1
860,43.1
861,8.6
862,14.9
863,13.2
864,15.1
865,36
866,7
867,9.5
868,15.2
869,2.8
870,3
871,4.3
872,8
873,7.3
874,31.4
875,7.3
876,0.4
877,0
878,1.5
879,26.9
880,21.7
881,2.4
882,9.3
883,13.2
884,3.4
885,0
886,0.6
887,0
888,0
889,0
890,0
891,1
892,0
893,0
894,0
895,0.8
896,0
897,0
898,0
899,0
900,34
901,36
902,18
903,0
904,32.3
905,4.6
906,0
907,0
908,2.3
909,34.3
910,42
911,0
912,1.4
913,8.4
914,25.9
915,37.4
916,6.2
917,25.8
918,25.6
919,51.5
920,42.8
921,26.2
922,26
923,19.6
924,36.7
925,29.4
926,30.2
927,61.3
928,40
929,53.9
930,61.7
931,87.5
932,66
933,31.6
934,84.4
935,65.8
936,113.6
937,57.7
938,79
939,96.3
940,76.7
941,93.8
942,94.4
943,70.4
944,89.4
945,82.6
946,93.5
947,80.4
948,76.8
949,88
950,107.3
951,108.5
952,101.9
953,148.6
954,163.4
955,90.4
956,127.3
957,83.9
958,91.1
959,95
960,78.1
961,71.6
962,82.3
963,120.6
964,158.4
965,112.3
966,123.2
967,151.5
968,129.3
969,88
970,95.3
971,112.7
972,94.1
973,87
974,120.1
975,141
976,177.3
977,110.5
978,108.4
979,73.2
980,84.6
981,103.4
982,140.6
983,135.4
984,136.8
985,79
986,83.6
987,155.8
988,90.9
989,63.4
990,55.6
991,75.4
992,91.6
993,63.2
994,77.1
995,72.5
996,48.3
997,51.5
998,92.6
999,91.9
1000,44.8
1001,68.9
1002,44.5
1003,23.3
1004,14.8
1005,13.7
1006,35.2
1007,23.8
1008,45.8
1009,18.7
1010,24.9
1011,19.6
1012,4.6
1013,21.5
1014,1.7
1015,11.6
1016,9.5
1017,19.3
1018,12.5
1019,9.8
1020,16.6
1021,8.2
1022,30.1
1023,6.5
1024,2.4
1025,14.8
1026,13.1
1027,14.4
1028,6.6
1029,19.2
1030,41.3
1031,50.9
1032,57.5
1033,12.4
1034,40.7
1035,32.7
1036,102.4
1037,72.6
1038,55.2
1039,99.6
1040,98.5
1041,168
1042,158.6
1043,166.7
1044,129.3
1045,147.6
1046,179.4
1047,163.7
1048,238
1049,185.7
1050,207.9
1051,194.6
1052,179.6
1053,158.5
1054,228.9
1055,201.5
1056,343.8
1057,313.4
1058,292.6
1059,224.3
1060,230.3
1061,186.1
1062,263.4
1063,271.2
1064,223.5
1065,160.4
1066,206.2
1067,178.4
1068,216.1
1069,241.5
1070,141.3
1071,234.5
1072,211.1
1073,229.4
1074,157.6
1075,180.4
1076,131.3
1077,122.7
1078,151.5
1079,129.2
1080,132.9
1081,175.9
1082,170.8
1083,129.5
1084,102.9
1085,89.6
1086,91.2
1087,141.3
1088,218.8
1089,221.1
1090,151.5
1091,114.7
1092,106.2
1093,135.4
1094,146.1
1095,112.9
1096,109.8
1097,115.4
1098,80.9
1099,101
1100,96.4
1101,123.3
1102,91.7
1103,90.4
1104,89.5
1105,40.1
1106,49.9
1107,49.6
1108,66.9
1109,112.4
1110,92.8
1111,51.4
1112,65.4
1113,60.9
1114,47.4
1115,32.9
1116,64.8
1117,34
1118,36.8
1119,36.2
1120,44.9
1121,41.4
1122,34.2
1123,21
1124,44.4
1125,30.6
1126,63.5
1127,67.5
1128,29.3
1129,22.2
1130,5.9
1131,13.9
1132,15.8
1133,35.1
1134,17.6
1135,15.9
1136,19.6
1137,6.9
1138,8.9
1139,31.7
1140,21.2
1141,15.7
1142,24.5
1143,22.5
1144,34.6
1145,19.2
1146,6.2
1147,35.2
1148,39.7
1149,11.6
1150,35.9
1151,17.9
1152,36
1153,42.8
1154,72.8
1155,72.1
1156,95
1157,79.7
1158,51.8
1159,51
1160,53.9
1161,49.3
1162,67.8
1163,65.7
1164,99.5
1165,64.6
1166,84.9
1167,106.5
1168,115.5
1169,99.9
1170,108.4
1171,77.5
1172,91.3
1173,178.6
1174,93.4
1175,100.6
1176,109.1
1177,104.4
1178,74.9
1179,143
1180,74.6
1181,125.7
1182,142.2
1183,87.1
1184,234.3
1185,268.2
1186,300.6
1187,231.5
1188,182.6
1189,265.2
1190,186.4
1191,181.2
1192,178.6
1193,170.5
1194,214.9
1195,232
1196,220.9
1197,167.3
1198,220.6
1199,191
1200,265.8
1201,298.3
1202,250.3
1203,182.7
1204,194.7
1205,153.2
1206,154.2
1207,148.2
1208,128.6
1209,178
1210,135.7
1211,188.2
1212,184.3
1213,148.2
1214,169.8
1215,156.8
1216,83.8
1217,117
1218,133
1219,74.3
1220,117
1221,163.7
1222,134.9
1223,104.1
1224,115.9
1225,143.5
1226,200.1
1227,122.8
1228,107.3
1229,118.9
1230,120
1231,68.6
1232,109
1233,128.9
1234,118.7
1235,96.8
1236,135.5
1237,129.9
1238,126.2
1239,116.2
1240,124.3
1241,104.3
1242,89
1243,80
1244,75.3
1245,71.2
1246,127.9
1247,103.1
1248,86.1
1249,77.9
1250,81.5
1251,71.6
1252,90.4
1253,65.9
1254,76
1255,87.2
1256,95.8
1257,63.7
1258,80.5
1259,54.7
1260,44.5
1261,29.3
1262,38
1263,39.4
1264,50.3
1265,45.6
1266,40.1
1267,35.5
1268,30.1
1269,42.6
1270,24.1
1271,53.5
1272,41.1
1273,23.4
1274,21.6
1275,33
1276,8.4
1277,17.3
1278,10
1279,0.7
1280,5.9
1281,0
1282,18.3
1283,7.9
1284,5.8
1285,1
1286,9.3
1287,0.7
1288,12.4
1289,0
1290,9.8
1291,8.8
1292,11.3
1293,8.4
1294,8.5
1295,14.7
1296,13.7
1297,26
1298,14.2
1299,10
1300,21.1
1301,54.2
1302,30.5
1303,42.2
1304,32
1305,80.6
1306,77.1
1307,59.6
1308,70.7
1309,74.2
1310,66.3
1311,109.2
1312,72.8
1313,78.6
1314,84.5
1315,107.7
1316,104.9
1317,152.2
1318,173.2
1319,98.6
1320,127
1321,159
1322,166.4
1323,171.5
1324,162.9
1325,172.8
1326,165.2
1327,180.7
1328,203
1329,200.9
1330,217.8
1331,184.6
1332,153.9
1333,156.6
1334,167.9
1335,188
1336,135.7
1337,203.5
1338,206.3
1339,221.9
1340,190.5
1341,175.2
1342,171.1
1343,186
1344,181.7
1345,118.5
1346,147.5
1347,192
1348,187.1
1349,107.8
1350,167.5
1351,148.2
1352,156.7
1353,151.9
1354,127.7
1355,102
1356,152.8
1357,119.9
1358,122.4
1359,82.7
1360,102.1
1361,122.4
1362,159.7
1363,139.5
1364,118.7
1365,126.4
1366,79.8
1367,96
1368,77.6
1369,91.8
1370,107.7
1371,126
1372,77.1
1373,102.1
1374,77.6
1375,62
1376,91.3
1377,41.7
1378,75.7
1379,71.6
1380,78.1
1381,109.7
1382,89.5
1383,125.9
1384,68.1
1385,77.1
1386,109.9
1387,103.8
1388,104.1
1389,54.2
1390,64.4
1391,109.3
1392,54.3
1393,92.5
1394,74.6
1395,75
1396,55.9
1397,65.6
1398,63.8
1399,50.8
1400,71.8
1401,41
1402,32.5
1403,46.7
1404,24.3
1405,60
1406,72.9
1407,46.6
1408,33.5
1409,24.6
1410,31.4
1411,17.6
1412,24.2
1413,13.9
1414,26.8
1415,17.2
1416,2.9
1417,0
1418,1.4
1419,17.4
1420,9.7
1421,5.5
1422,2.8
1423,9.5
1424,9.1
1425,18.7
1426,25.5
1427,18.1
1428,47.9
1429,25.9
1430,26.3
1431,44
1432,61.1
1433,44.5
1434,51.8
1435,48.3
1436,57.3
1437,78.7
1438,102.8
1439,98.7
1440,112.8
1441,101.6
1442,99.9
1443,88
1444,68.4
1445,173.4
1446,180.7
1447,98.8
1448,132.7
1449,134.5
1450,99
1451,130.2
1452,174.1
1453,129
1454,191.7
1455,262.7
1456,266.9
1457,293.6
1458,226.3
1459,220.9
1460,256.5
1461,226.8
1462,244.3
1463,246
1464,216.7
1465,147.2
1466,209
1467,238.7
1468,270.9
1469,242.6
1470,152.9
1471,171.8
1472,183.7
1473,133.9
1474,148.5
1475,175.7
1476,150.8
1477,132.7
1478,200.3
1479,147.5
1480,170.4
1481,179.5
1482,183.3
1483,176
1484,155
1485,191.1
1486,171.2
1487,186.8
1488,139.9
1489,144.6
1490,178.4
1491,164
1492,127.1
1493,80
1494,74.8
1495,111.7
1496,113.8
1497,78.7
1498,78.6
1499,92.5
1500,82
1501,101.4
1502,107.1
1503,77.5
1504,53.5
1505,74.6
1506,63.8
1507,113.2
1508,102.3
1509,46.8
1510,57.4
1511,48.2
1512,48.8
1513,24.4
1514,35.9
1515,56.4
1516,48.6
1517,19.2
1518,39.9
1519,20.9
1520,24.4
1521,4
1522,21.3
1523,29.6
1524,16.5
1525,23.9
1526,25.1
1527,51.1
1528,3.9
1529,8.5
1530,2.7
1531,25.5
1532,14.8
1533,16.6
1534,23.9
1535,16.6
1536,13.6
1537,40.6
1538,14.5
1539,19.9
1540,26.3
1541,36.1
1542,23.6
1543,10
1544,10.5
1545,28.1
1546,11.2
1547,23.6
1548,3.5
1549,5.5
1550,11
1551,13.1
1552,0.2
1553,9.9
1554,10.7
1555,0.2
1556,0
1557,8.8
1558,1.9
1559,6.8
1560,0.9
1561,1.6
1562,0.9
1563,0
1564,10.4
1565,4
1566,8
1567,12.6
1568,17.9
1569,10.1
1570,20.4
1571,21.9
1572,12.2
1573,40.1
1574,45.4
1575,32.1
1576,32.4
1577,39.1
1578,56.9
1579,36.5
1580,80.3
1581,110.1
1582,71.7
1583,51.1
1584,49.4
1585,60.6
1586,88.6
1587,85.8
1588,86.1
1589,72.5
1590,100.8
1591,128.2
1592,97.3
1593,88.6
1594,107.3
1595,91.5
1596,78.8
1597,75
1598,115.9
1599,111.5
1600,159.6
1601,106.9
1602,75.4
1603,75.7
1604,67.5
1605,96.1
1606,98.6
1607,140.6
1608,69.7
1609,101
1610,78.2
1611,71.3
1612,136.8
1613,52.5
1614,127.2
1615,134.4
1616,76.6
1617,87.8
1618,139.6
1619,140.8
1620,126.5
1621,152.6
1622,144.8
1623,145.8
1624,126.9
1625,110.9
1626,85.3
1627,88.5
1628,93.1
1629,103.1
1630,79.6
1631,60.9
1632,78.6
1633,71.4
1634,119.7
1635,82.9
1636,91.7
1637,121.6
1638,139.5
1639,110.9
1640,83.5
1641,66
1642,64.5
1643,51.6
1644,36.3
1645,49.8
1646,43.2
1647,95.5
1648,72.9
1649,51.2
1650,45.3
1651,50.4
1652,28.1
1653,35.7
1654,14.4
1655,0.6
1656,21.7
1657,17
1658,22
1659,7.1
1660,11.6
1661,33.4
1662,26.1
1663,38.9
1664,35.7
1665,12.4
1666,11
1667,11.5
1668,34.5
1669,21.2
1670,11.8
1671,13.1
1672,8.5
1673,11.7
1674,11.8
1675,5
1676,4.6
1677,14.6
1678,3.4
1679,17.9
1680,11.1
1681,1.3
1682,14.2
1683,11.1
1684,7.3
1685,4
1686,10.8
1687,15.8
1688,34.3
1689,10.9
1690,3.4
1691,0.3
1692,11.2
1693,8.8
1694,1.1
1695,8.5
1696,2.7
1697,7.9
1698,2.2
1699,19.3
1700,14.2
1701,28.6
1702,18.6
1703,15.9
1704,13.1
1705,22.5
1706,36.9
1707,17.2
1708,34.2
1709,68.5
1710,80.4
1711,98
1712,55.1
1713,89.7
1714,86
1715,69.8
1716,54.3
1717,115.2
1718,126.1
1719,83.3
1720,116
1721,132.7
1722,127.3
1723,127.6
1724,169
1725,104.7
1726,117.5
1727,108.9
1728,131
1729,125
1730,121.6
1731,109.5
1732,146.8
1733,141.3
1734,149.8
1735,147.6
1736,215.4
1737,129.9
1738,133.3
1739,125.2
1740,156.4
1741,138.6
1742,141
1743,87.1
1744,136
1745,168.7
1746,164.8
1747,176.7
1748,117.1
1749,110
1750,125.7
1751,94.3
1752,100.1
1753,105.4
1754,112
1755,101.6
1756,128.2
1757,112.5
1758,119.1
1759,79.7
1760,114.9
1761,96.1
1762,113.2
1763,78.6
1764,117.9
1765,48.4
1766,95.7
1767,86.5
1768,73
1769,46.1
1770,81.7
1771,75.2
1772,45.4
1773,102.2
1774,47.9
1775,63.3
1776,71
1777,67.6
1778,49
1779,48.7
1780,51.7
1781,33.3
1782,18.9
1783,46.1
1784,36.4
1785,80.4
1786,23.9
1787,14
1788,55.5
1789,50.4
1790,60.7
1791,63.9
1792,24.2
1793,43
1794,37.1
1795,15
1796,52.3
1797,58.1
1798,57.1
1799,51.6
1800,21.1
1801,32.4
1802,15.3
1803,30.3
1804,23.6
1805,12.9
1806,34.1
1807,22.5
1808,4.9
1809,14
1810,21.7
1811,13
1812,17.6
1813,15.7
1814,22.8
1815,14.4
1816,26.8
1817,25.3
1818,20.1
1819,13.9
1820,7.1
1821,13.9
1822,21.6
1823,7.5
1824,0.5
1825,0.4
1826,4
1827,7.4
1828,0
1829,17
1830,9.7
1831,1.2
1832,1.7
1833,0.9
1834,6.3
1835,6.4
1836,0
1837,9.3
1838,0
1839,20.7
1840,0
1841,4.7
1842,2.4
1843,1.5
1844,3.8
1845,12.6
1846,27.2
1847,17.2
1848,1.8
1849,13.9
1850,28.4
1851,22.5
1852,43.5
1853,24.3
1854,27.2
1855,46.4
1856,48
1857,18.5
1858,64.8
1859,74.2
1860,76.2
1861,52.6
1862,40.8
1863,61.9
1864,71.6
1865,65.7
1866,69.8
1867,84.3
1868,97.1
1869,50.2
1870,90.4
1871,63.4
1872,91.1
1873,91.2
1874,143
1875,94.3
1876,65.5
1877,79.9
1878,81.6
1879,121.6
1880,98.1
1881,91.8
1882,131.2
1883,178.7
1884,92.5
1885,75.8
1886,52.3
1887,107.4
1888,92.2
1889,96.2
1890,105.3
1891,172.7
1892,79.6
1893,93.5
1894,29.7
1895,64.8
1896,108
1897,127.4
1898,180.3
1899,101.1
1900,87.6
1901,71.4
1902,67.2
1903,82.9
1904,90.5
1905,141.7
1906,109.1
1907,102.5
1908,78.9
1909,65.4
1910,56.6
1911,47.9
1912,96.1
1913,68
1914,80.2
1915,65.8
1916,150.9
1917,144.9
1918,53.9
1919,75.9
1920,65.9
1921,94.6
1922,77.6
1923,110.5
1924,53.7
1925,60
1926,37.8
1927,59.6
1928,38.5
1929,64.7
1930,97.4
1931,93
1932,90.2
1933,44
1934,52.5
1935,35.7
1936,14.1
1937,36.9
1938,20.5
1939,23.5
1940,19.3
1941,43.7
1942,63.9
1943,8.3
1944,9.6
1945,5.6
1946,15
1947,13
1948,27.6
1949,15.1
1950,3.7
1951,5.9
1952,6.7
1953,6.7
1954,4.5
1955,7
1956,3.7
1957,0.4
1958,0
1959,8.2
1960,7.6
1961,7.4
1962,6.9
1963,4.9
1964,0.5
1965,15.9
1966,7.6
1967,1.9
1968,10.6
1969,3.8
1970,4.8
1971,0.8
1972,1.6
1973,0
1974,0
1975,2.9
1976,0.4
1977,2
1978,5.2
1979,1.2
1980,6.3
1981,4.7
1982,4.4
1983,5.3
